Nama,Brand,Tipe_Produk,SKU_Induk,Link_Gambar,Link_Produk,Varian,Kapasitas,Warna,SKU_Varian,Harga_Normal,Harga_Promo,Stok_Qty,Status_Stok
Apple MacBook Pro M5 Pro 14 inci (2026),Apple,Notebook,MBP-14-M5P-26-ER-CON,https://cdnpro.eraspace.com/media/catalog/product/a/p/apple_macbook_pro_14_inci_m5_pro_2026_space_black_1_.webp,https://eraspace.com/erafone/apple-macbook-pro-m5-pro-14-inci-2026,"Space Black,24/1 TB,Apple M5 Pro Chip (CPU 15-Core, GPU 16-Core)",24/1 TB,Space Black,8100261715,40499000,40499000,3,Ready
Apple MacBook Pro M5 Pro 14 inci (2026),Apple,Notebook,MBP-14-M5P-26-ER-CON,https://cdnpro.eraspace.com/media/catalog/product/a/p/apple_macbook_pro_14_inci_m5_pro_2026_space_black_1_.webp,https://eraspace.com/erafone/apple-macbook-pro-m5-pro-14-inci-2026,"Space Black,24/2 TB,Apple M5 Pro Chip (CPU 18-Core, GPU 20-Core)",24/2 TB,Space Black,8100261719,51499000,51499000,0,Habis
Apple MacBook Pro M5 Pro 14 inci (2026),Apple,Notebook,MBP-14-M5P-26-ER-CON,https://cdnpro.eraspace.com/media/catalog/product/a/p/apple_macbook_pro_14_inci_m5_pro_2026_space_black_1_.webp,https://eraspace.com/erafone/apple-macbook-pro-m5-pro-14-inci-2026,"Silver,24/1 TB,Apple M5 Pro Chip (CPU 15-Core, GPU 16-Core)",24/1 TB,Silver,8100261714,40499000,40499000,0,Habis
Apple MacBook Pro M5 Pro 14 inci (2026),Apple,Notebook,MBP-14-M5P-26-ER-CON,https://cdnpro.eraspace.com/media/catalog/product/a/p/apple_macbook_pro_14_inci_m5_pro_2026_space_black_1_.webp,https://eraspace.com/erafone/apple-macbook-pro-m5-pro-14-inci-2026,"Space Black,24/2 TB,Apple M5 Pro Chip (CPU 15-Core, GPU 16-Core)",24/2 TB,Space Black,8100261717,51499000,51499000,0,Habis
Apple MacBook Pro M5 Pro 14 inci (2026),Apple,Notebook,MBP-14-M5P-26-ER-CON,https://cdnpro.eraspace.com/media/catalog/product/a/p/apple_macbook_pro_14_inci_m5_pro_2026_space_black_1_.webp,https://eraspace.com/erafone/apple-macbook-pro-m5-pro-14-inci-2026,"Silver,24/2 TB,Apple M5 Pro Chip (CPU 18-Core, GPU 20-Core)",24/2 TB,Silver,8100261718,51499000,51499000,0,Habis
Apple MacBook Pro M5 Pro 14 inci (2026),Apple,Notebook,MBP-14-M5P-26-ER-CON,https://cdnpro.eraspace.com/media/catalog/product/a/p/apple_macbook_pro_14_inci_m5_pro_2026_space_black_1_.webp,https://eraspace.com/erafone/apple-macbook-pro-m5-pro-14-inci-2026,"Silver,24/2 TB,Apple M5 Pro Chip (CPU 15-Core, GPU 16-Core)",24/2 TB,Silver,8100261716,51499000,51499000,0,Habis
iQOO Z11x 5G,iQOO,Smartphones,IQO-Z11X-5G-ER-CON,https://cdnpro.eraspace.com/media/catalog/product/i/q/iqoo_z11x_5g_silver_01_1.webp,https://eraspace.com/erafone/iqoo-z11x-5g,"8/256 GB,Silver",8/256 GB,Silver,8100273418,4799000,4799000,3,Ready
iQOO Z11x 5G,iQOO,Smartphones,IQO-Z11X-5G-ER-CON,https://cdnpro.eraspace.com/media/catalog/product/i/q/iqoo_z11x_5g_silver_01_1.webp,https://eraspace.com/erafone/iqoo-z11x-5g,"8/256 GB,Black",8/256 GB,Black,8100273419,4799000,4799000,3,Ready
iQOO Z11 5G,iQOO,Smartphones,IQO-Z11-5G-ER-CON,https://cdnpro.eraspace.com/media/catalog/product/i/q/iqoo_z11_5g_blue_01_1.webp,https://eraspace.com/erafone/iqoo-z11-5g,"8/256 GB,Black",8/256 GB,Black,8100273417,5699000,5699000,0,Habis
iQOO Z11 5G,iQOO,Smartphones,IQO-Z11-5G-ER-CON,https://cdnpro.eraspace.com/media/catalog/product/i/q/iqoo_z11_5g_blue_01_1.webp,https://eraspace.com/erafone/iqoo-z11-5g,"8/256 GB,Blue",8/256 GB,Blue,8100273416,5699000,5699000,2,Ready
