Nama,Brand,Tipe_Produk,SKU_Induk,Link_Gambar,Link_Produk,Varian,Kapasitas,Warna,SKU_Varian,Harga_Normal,Harga_Promo,Stok_Qty,Status_Stok,Image_Count,Image_URLs
OPPO Find X9 Ultra,OPPO,Smartphones,OP-FX9U-ER-CON,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_canyon_orange_1_2.webp,https://eraspace.com/erafone/oppo-find-x9-ultra,"16/1 TB,Tundra Umber",16/1 TB,Tundra Umber,8100273402,31999000,31999000,3,Ready,2,"https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_tundra_umber_3_1_1.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_tundra_umber_4_1_1.webp"
OPPO Find X9 Ultra,OPPO,Smartphones,OP-FX9U-ER-CON,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_canyon_orange_1_2.webp,https://eraspace.com/erafone/oppo-find-x9-ultra,"12/512 GB,Tundra Umber",12/512 GB,Tundra Umber,8100273400,27999000,27999000,5,Ready,2,"https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_tundra_umber_3_1_1.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_tundra_umber_4_1_1.webp"
OPPO Find X9 Ultra,OPPO,Smartphones,OP-FX9U-ER-CON,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_canyon_orange_1_2.webp,https://eraspace.com/erafone/oppo-find-x9-ultra,"16/1 TB,Canyon Orange",16/1 TB,Canyon Orange,8100273401,31999000,31999000,5,Ready,7,"https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_canyon_orange_1_2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_canyon_orange_2_2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_canyon_orange_3_2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_canyon_orange_4_2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_canyon_orange_5_2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_canyon_orange_6_2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_canyon_orange_7_2.webp"
OPPO Find X9 Ultra,OPPO,Smartphones,OP-FX9U-ER-CON,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_canyon_orange_1_2.webp,https://eraspace.com/erafone/oppo-find-x9-ultra,"12/512 GB,Canyon Orange",12/512 GB,Canyon Orange,8100273399,27999000,27999000,5,Ready,7,"https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_canyon_orange_1_2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_canyon_orange_2_2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_canyon_orange_3_2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_canyon_orange_4_2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_canyon_orange_5_2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_canyon_orange_6_2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_canyon_orange_7_2.webp"
iQOO Z11x 5G,iQOO,Smartphones,IQO-Z11X-5G-ER-CON,https://cdnpro.eraspace.com/media/catalog/product/i/q/iqoo_z11x_5g_silver_01_1.webp,https://eraspace.com/erafone/iqoo-z11x-5g,"8/256 GB,Silver",8/256 GB,Silver,8100273418,4799000,4799000,3,Ready,7,"https://cdnpro.eraspace.com/media/catalog/product/i/q/iqoo_z11x_5g_silver_01_1.webp, https://cdnpro.eraspace.com/media/catalog/product/i/q/iqoo_z11x_5g_silver_02_1.webp, https://cdnpro.eraspace.com/media/catalog/product/i/q/iqoo_z11x_5g_silver_03_1.webp, https://cdnpro.eraspace.com/media/catalog/product/i/q/iqoo_z11x_5g_silver_04_1.webp, https://cdnpro.eraspace.com/media/catalog/product/i/q/iqoo_z11x_5g_silver_05_1.webp, https://cdnpro.eraspace.com/media/catalog/product/i/q/iqoo_z11x_5g_silver_06_1.webp, https://cdnpro.eraspace.com/media/catalog/product/i/q/iqoo_z11x_5g_silver_07_1.webp"
iQOO Z11x 5G,iQOO,Smartphones,IQO-Z11X-5G-ER-CON,https://cdnpro.eraspace.com/media/catalog/product/i/q/iqoo_z11x_5g_silver_01_1.webp,https://eraspace.com/erafone/iqoo-z11x-5g,"8/256 GB,Black",8/256 GB,Black,8100273419,4799000,4799000,3,Ready,2,"https://cdnpro.eraspace.com/media/catalog/product/i/q/iqoo_z11x_5g_black_03_1.webp, https://cdnpro.eraspace.com/media/catalog/product/i/q/iqoo_z11x_5g_black_04_1.webp"
Honor X5C Plus,Honor,Smartphones,HON-X5CP-ER-CON,https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_1_.webp,https://eraspace.com/erafone/honor-x5c-plus,"4/128 GB,Midnight Black",4/128 GB,Midnight Black,8100277902,2299000,2299000,10,Ready,9,"https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_1_.webp, https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_2_.webp, https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_3_.webp, https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_4_.webp, https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_5_.webp, https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_6_.webp, https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_7_.webp, https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_8_.webp, https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_9_.webp"
Honor X5C Plus,Honor,Smartphones,HON-X5CP-ER-CON,https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_1_.webp,https://eraspace.com/erafone/honor-x5c-plus,"4/128 GB,Ocean Cyan",4/128 GB,Ocean Cyan,8100277904,2299000,2299000,10,Ready,2,"https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_ocean_cyan_1_.webp, https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_ocean_cyan_2_.webp"
OPPO A6s,OPPO,Smartphones,OP-A6S-ER-CON,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_brown_01_1.webp,https://eraspace.com/erafone/oppo-a6s,"8/128 GB,White",8/128 GB,White,8100257950,4999000,4999000,5,Ready,2,"https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_white_01_2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_white_02_2.webp"
OPPO A6s,OPPO,Smartphones,OP-A6S-ER-CON,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_brown_01_1.webp,https://eraspace.com/erafone/oppo-a6s,"8/256 GB,White",8/256 GB,White,8100257952,5499000,5499000,5,Ready,2,"https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_white_01_2.webp, https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_white_02_2.webp"
