Brand,Tipe,Nama,Kategori,SKU,Harga_Normal,Harga_Promo,Stok,Link_Gambar,Link_Produk
70mai,70mai A500S Dash Camera Set,70mai A500S Dash Camera Set (Front+Rear) - Black,Camera & Video,8100060806,2099000,2099000,0,https://cdnpro.eraspace.com/media/catalog/product/7/0/70mai_a500s_dash_camera_set_front_rear_black_1_1.jpg,https://eraspace.com/erafone/70mai-a500s-dash-camera-set-front-rear-black-ib
70mai,70mai A810 Dash Cam Set,70mai A810 Dash Cam Set - Black,Camera & Video,8100136256,3799000,3799000,0,https://cdnpro.eraspace.com/media/catalog/product/7/0/70mai_a810_dash_cam_set_black_2_1.jpg,https://eraspace.com/erafone/70mai-a810-dash-cam-set-black-ib
70mai,70mai Hardwire Kit UP03,70mai Hardwire Kit UP03 - Black,Camera & Video,8100136257,300000,300000,0,https://cdnpro.eraspace.com/media/catalog/product/7/0/70mai_hardwire_kit_up03_black_1_1.jpg,https://eraspace.com/erafone/70mai-hardwire-kit-up03-black-ib
ACMIC,ACMIC TWS Minio,ACMIC TWS Minio - Black,Audio,8100212910,129000,129000,0,https://cdnpro.eraspace.com/media/catalog/product/a/c/acmic_tws_minio_black_1.jpg,https://eraspace.com/erafone/acmic-tws-minio-black
ASUS,Asus ROG 8 Antibacterial Glass Screen Protector,Asus ROG 8 Antibacterial Glass Screen Protector,Mobile Accessories,8100002313,399000,399000,0,https://cdnpro.eraspace.com/media/catalog/product/a/s/asus_rog_8_antibacterial_glass_screen_protector_1.jpg,https://eraspace.com/erafone/asus-rog-8-antibacterial-glass-screen-protector
ASUS,Asus ROG Phone 6,Asus ROG Phone 6 8/256GB - White,Smartphone,8100074379,7499000,7499000,0,https://cdnpro.eraspace.com/media/catalog/product/a/s/asus_rog_phone_6_storm_white_1.jpg,https://eraspace.com/erafone/asus-rog-phone-6-8-256gb-white
ASUS,Asus ROG Phone 6 Pro,Asus ROG Phone 6 Pro 18/512GB - White,Smartphone,8100074382,18999000,18999000,0,https://cdnpro.eraspace.com/media/catalog/product/a/s/asus_rog_phone_6_pro_white_1.jpg,https://eraspace.com/erafone/asus-rog-phone-6-pro-18-512gb-white
ASUS,Asus ROG Phone 8,Asus ROG Phone 8 12/256GB - Phantom Black,Smartphone,8100140334,5999000,5999000,0,https://cdnpro.eraspace.com/media/catalog/product/a/s/asus_rog_phone_8_phantom_black_1.jpg,https://eraspace.com/erafone/asus-rog-phone-8-12-256gb-phantom-black
ASUS,Asus ROG Phone 8,Asus ROG Phone 8 12/256GB - Storm Grey,Smartphone,8100140335,5999000,5999000,0,https://cdnpro.eraspace.com/media/catalog/product/a/s/asus_rog_phone_8_storm_grey_1.jpg,https://eraspace.com/erafone/asus-rog-phone-8-12-256gb-storm-grey
ASUS,Asus ROG Phone 8 Pro,Asus ROG Phone 8 Pro 16/512GB - Phantom Black,Smartphone,8100140336,14999000,14999000,0,https://cdnpro.eraspace.com/media/catalog/product/a/s/asus_rog_phone_8_pro_phantom_black_1_1.jpg,https://eraspace.com/erafone/asus-rog-phone-8-pro-16-512gb-phantom-black
ASUS,Asus ROG Phone 8 Pro 24/1TB,Asus ROG Phone 8 Pro 24/1TB - Phantom Black,Smartphone,8100140337,19999000,19999000,0,https://cdnpro.eraspace.com/media/catalog/product/a/s/asus_rog_phone_8_pro_phantom_black_1.jpg,https://eraspace.com/erafone/asus-rog-phone-8-pro-24-1tb-phantom-black
ASUS,Asus ROG Phone 9 DEVILCASE Guardian Gaming,Asus ROG Phone 9 DEVILCASE Guardian Gaming,Mobile Accessories,8100019527,569000,569000,0,https://cdnpro.eraspace.com/media/catalog/product/a/s/asus_rog_phone_9_devilcase_guardian_gaming_1.jpg,https://eraspace.com/erafone/asus-rog-phone-9-devilcase-guardian-gaming
ASUS,Asus ROG Phone 9 FE,Asus ROG Phone 9 FE 12/256GB - Phantom Black,Smartphone,8100089398,6999000,6999000,0,https://cdnpro.eraspace.com/media/catalog/product/a/s/asus_rog_phone_9_fe_black_01.jpg,https://eraspace.com/erafone/asus-rog-phone-9-fe-12-256gb-phantom-black
ASUS,Asus ROG Phone 9 FE,Asus ROG Phone 9 FE 12/512GB - Phantom Black,Smartphone,8100089399,7999000,7999000,0,https://cdnpro.eraspace.com/media/catalog/product/a/s/asus_rog_phone_9_fe_black_01_1.jpg,https://eraspace.com/erafone/asus-rog-phone-9-fe-12-512gb-phantom-black
