Nama,Brand,Tipe_Produk,SKU_Induk,SKU_Varian,Kapasitas,Warna,Varian,Harga,Harga_Promo,Diskon,Stok_Qty,Status_Stok,Link_Gambar,Link_Produk,Kategori
Samsung Galaxy Tab S10+ Wi-Fi 12/256GB - Moonstone Gray,Samsung,Tablets,8100027170,8100027170,,,,17999000,13999000,22%,2,Ready,https://cdnpro.eraspace.com/media/catalog/product/g/a/galaxy_tab_s10_plus_wi-fi_moonstone_gray_1_1.jpg,https://eraspace.com/erafone/samsung-galaxy-tab-s10-plus-wi-fi-12-256gb-moonstone-gray-1,Semua Device (HP+Tablet+Laptop+Mac) [*]
Tecno Megapad 11 8/128GB - Green,Tecno,Tablets,8100072805,8100072805,,,,2699000,2699000,,2,Ready,https://cdnpro.eraspace.com/media/catalog/product/t/e/tecno_megapad_11_green_new01.jpg,https://eraspace.com/erafone/tecno-megapad-11-8-128gb-green,Semua Device (HP+Tablet+Laptop+Mac) [*]
HONOR Pad X9A 8/128GB - Grey + Keyboard,Honor,Tablets,8100222904,8100222904,,,,4299000,4299000,,133,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_pad_x9a_grey1.jpg,https://eraspace.com/erafone/honor-pad-x9a-8-128gb-grey-keyboard,Semua Device (HP+Tablet+Laptop+Mac) [*]
realme 12 5G 8/256GB - Woodland Green,realme,Smartphones,8100140191,8100140191,,,,3299000,3299000,,2,Ready,https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_12_5g_woodland_green_1.jpg,https://eraspace.com/erafone/realme-12-5g-8-256-gb-woodland-green,Semua Device (HP+Tablet+Laptop+Mac) [*]
OPPO Reno13 5G 12/256GB - Plume White,OPPO,Smartphones,8100026261,8100026261,,,,8999000,8999000,,6,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno13_5g_plume_white_1_1.jpg,https://eraspace.com/erafone/oppo-reno13-5g-12-256gb-plume-white,Semua Device (HP+Tablet+Laptop+Mac) [*]
vivo V50 Lite 5G 12/512GB - Gold,vivo,Smartphones,8100136461,8100136461,,,,5599000,5599000,,1,Ready,https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_v50_lite_5g_all_gold_1_1.jpg,https://eraspace.com/erafone/vivo-v50-lite-5g-12-512gb-gold,Semua Device (HP+Tablet+Laptop+Mac) [*]
OPPO Reno13 5G 12/512GB - Luminous Blue,OPPO,Smartphones,8100026262,8100026262,,,,9999000,7999000,20%,7,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno13_5g_luminous_blue_1_1_1.jpg,https://eraspace.com/erafone/oppo-reno13-5g-12-512gb-luminous-blue,Semua Device (HP+Tablet+Laptop+Mac) [*]
vivo V50 Lite 4G 8/256GB - Gold,vivo,Smartphones,8100136457,8100136457,,,,3799000,3799000,,1,Ready,https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_v50_lite_4g_all_gold_1_1.jpg,https://eraspace.com/erafone/vivo-v50-lite-4g-8-256gb-gold,Semua Device (HP+Tablet+Laptop+Mac) [*]
Huawei Matepad Pro 12.2 2025 12/512GB - Green,Huawei,Tablets,8100044098,8100044098,,,,12999000,12999000,,5,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/u/huawei_matepad_pro_122_2025_green01.jpg,https://eraspace.com/erafone/huawei-matepad-pro-12-2-2025-12-512gb-green,Semua Device (HP+Tablet+Laptop+Mac) [*]
realme 12 5G 8/256GB - Twilight Purple,realme,Smartphones,8100140190,8100140190,,,,3299000,3299000,,4,Ready,https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_12_5g_twilight_purple_1.jpg,https://eraspace.com/erafone/realme-12-5g-8-256-gb-twilight-purple,Semua Device (HP+Tablet+Laptop+Mac) [*]
Samsung Galaxy Tab S9 FE+ Wi-Fi 8/128GB - Gray,Samsung,Tablets,8100133974,8100133974,,,,8499000,6999000,18%,2,Ready,https://cdnpro.eraspace.com/media/catalog/product/s/a/samsung_galaxy_tab_s9_fe_plus_gray_1_1.jpg,https://eraspace.com/erafone/samsung-galaxy-tab-s9-fe-wi-fi-8-128gb-gray,Semua Device (HP+Tablet+Laptop+Mac) [*]
Huawei Matepad 11 8/128GB PaperMate,Huawei,Tablets,8100124947,8100124947,,,,7699000,3999000,48%,6,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/u/huawei_matepad_11_8_128gb_papermate_1.jpg,https://eraspace.com/erafone/huawei-matepad-11-8-128gb-papermate,Semua Device (HP+Tablet+Laptop+Mac) [*]
OPPO Pad 2 - Grey,OPPO,Tablets,8100123352,8100123352,,,,6999000,5499000,21%,4,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo-pad-2_new1.jpg,https://eraspace.com/erafone/oppo-pad-2-grey,Semua Device (HP+Tablet+Laptop+Mac) [*]
Huawei Mate X6 12/512GB - Black,Huawei,Smartphones,8100104802,8100104802,,,,24999000,19999000,20%,2,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/u/huawei-mate-x6-blck_1a_1.jpg,https://eraspace.com/erafone/huawei-mate-x6-12-512gb-black,Semua Device (HP+Tablet+Laptop+Mac) [*]
OPPO Reno12 5G 12/512GB - Sunset Pink,OPPO,Smartphones,8100020023,8100020023,,,,7499000,5499000,27%,3,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno12_5g_sunset_pink_1_1.jpg,https://eraspace.com/erafone/oppo-reno12-5g-12-512gb-sunset-pink,Semua Device (HP+Tablet+Laptop+Mac) [*]
Tecno Megapad 11 8/128GB - Grey,Tecno,Tablets,8100072806,8100072806,,,,2699000,2699000,,1,Ready,https://cdnpro.eraspace.com/media/catalog/product/t/e/tecno_megapad_11_grey_new01.jpg,https://eraspace.com/erafone/tecno-megapad-11-8-128gb-grey,Semua Device (HP+Tablet+Laptop+Mac) [*]
vivo X200 12/256GB - Black,vivo,Smartphones,8100107948,8100107948,,,,12999000,12999000,,1,Ready,https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_x200_black_1_1.jpg,https://eraspace.com/erafone/vivo-x200-12-256gb-black-real,Semua Device (HP+Tablet+Laptop+Mac) [*]
OPPO Reno12 5G 12/256GB - Sunset Pink,OPPO,Smartphones,8100007924,8100007924,,,,6999000,4999000,29%,6,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno12_5g_sunset_pink_1.jpg,https://eraspace.com/erafone/oppo-reno12-5g-12-256gb-sunset-pink,Semua Device (HP+Tablet+Laptop+Mac) [*]
Infinix XPAD Edge 8/256 - Grey,Infinix,Tablets,8100250255,8100250255,,,,4599000,4599000,,3,Ready,https://cdnpro.eraspace.com/media/catalog/product/i/n/infinix_xpad_grey_1.webp,https://eraspace.com/erafone/infinix-xpad-edge-8-256-grey,Semua Device (HP+Tablet+Laptop+Mac) [*]
OPPO Reno13 5G 12/256GB - Luminous Blue,OPPO,Smartphones,8100026260,8100026260,,,,8999000,8999000,,6,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_reno13_5g_luminous_blue_1_2.jpg,https://eraspace.com/erafone/oppo-reno13-5g-12-256gb-luminous-blue,Semua Device (HP+Tablet+Laptop+Mac) [*]
"Apple iPad (A16), Wi-Fi, 128GB, Silver",Apple,Tablets,8100033673,8100033673,,,,7299000,7199000,1%,43,Ready,https://cdnpro.eraspace.com/media/catalog/product/a/p/apple_ipad_11_a16_wi-fi_silver_1.jpg,https://eraspace.com/erafone/apple-ipad-a16-wi-fi-128gb-silver,Semua Device (HP+Tablet+Laptop+Mac) [*]
Huawei Mate X6 12/512GB - Nebula Red,Huawei,Smartphones,8100104803,8100104803,,,,24999000,19999000,20%,1,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/u/huawei_mate_x6_red_new_1.jpg,https://eraspace.com/erafone/huawei-mate-x6-12-512gb-nebula-red,Semua Device (HP+Tablet+Laptop+Mac) [*]
HONOR MagicBook Art 14 Ultra5 16/1TB - Emerald Green,Honor,Notebook,8100119694,8100119694,,,,24999000,24999000,,1,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_magicbook_art_14_emerald_green_01.jpg,https://eraspace.com/erafone/honor-magicbook-art-14-ultra5-16-1tb-emerald-green,Semua Device (HP+Tablet+Laptop+Mac) [*]
vivo V50 Lite 4G 8/256GB - Black,vivo,Smartphones,8100136456,8100136456,,,,3799000,3799000,,1,Ready,https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_v50_lite_4g_just_black_1.jpg,https://eraspace.com/erafone/vivo-v50-lite-4g-8-256gb-black,Semua Device (HP+Tablet+Laptop+Mac) [*]
vivo V50 12/256GB - Red,vivo,Smartphones,8100136313,8100136313,,,,6499000,6499000,,2,Ready,https://cdnpro.eraspace.com/media/catalog/product/v/i/vivo_v50_red_1.jpg,https://eraspace.com/erafone/vivo-v50-12-256gb-red,Semua Device (HP+Tablet+Laptop+Mac) [*]
