Nama,Brand,Tipe_Produk,SKU,Harga,Harga_Promo,Diskon,Stok_Qty,Status_Stok,Link_Gambar,Link_Produk
OPPO Find X9 Ultra,OPPO,Smartphones,OP-FX9U-ER-CON,27999000,27999000,,20,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9_ultra_canyon_orange_1_2.webp,https://eraspace.com/erafone/oppo-find-x9-ultra
OPPO Find X9s,OPPO,Smartphones,OP-FX9S-ER-CON,14999000,14999000,,15,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_find_x9s_midnight_grey_1.webp,https://eraspace.com/erafone/oppo-find-x9s
iQOO Z11x 5G,iQOO,Smartphones,IQO-Z11X-5G-ER-CON,4799000,4799000,,6,Ready,https://cdnpro.eraspace.com/media/catalog/product/i/q/iqoo_z11x_5g_silver_01_1.webp,https://eraspace.com/erafone/iqoo-z11x-5g
realme C100i,realme,Smartphones,REA-C100I-ER-CON,2499000,2499000,,19,Ready,https://cdnpro.eraspace.com/media/catalog/product/r/e/realme_c100i_dawn_purple_01_2.webp,https://eraspace.com/erafone/realme-c100i
Infinix Hot 70,Infinix,Smartphones,INF-H70-ER-CON,2699000,2699000,,27,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/o/hot_70_slv_1_2.webp,https://eraspace.com/erafone/infinix-hot-70
OPPO A6c,OPPO,Smartphones,OP-A6C-ER-CON,2499000,2499000,,40,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6c_purple_1.webp,https://eraspace.com/erafone/oppo-a6c
Xiaomi 17T Pro,Xiaomi,Smartphones,XIA-17TP-ER-CON,12999000,12999000,,0,Habis,https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_17t_pro_deep_violet_01.webp,https://eraspace.com/erafone/xiaomi-17t-pro
Xiaomi 17T,Xiaomi,Smartphones,XIA-17T-ER-CON,9999000,9999000,,0,Habis,https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_17t_black_01.webp,https://eraspace.com/erafone/xiaomi-17t
Apple Macbook Neo,Apple,Notebook,MBN-A18P-13-ER-CON,10749000,10749000,,46,Ready,https://cdnpro.eraspace.com/media/catalog/product/a/p/apple_macbook_neo_magic_keyboard_indigo_1__1.webp,https://eraspace.com/erafone/apple-macbook-neo
Apple MacBook Pro M5 Pro 14 inci (2026),Apple,Notebook,MBP-14-M5P-26-ER-CON,40499000,40499000,,0,Habis,https://cdnpro.eraspace.com/media/catalog/product/a/p/apple_macbook_pro_14_inci_m5_pro_2026_space_black_1_.webp,https://eraspace.com/erafone/apple-macbook-pro-m5-pro-14-inci-2026
Tecno Megapad 11 SE,Tecno,Tablets,TEC-M11SE-ER-CON,2799000,2799000,,11,Ready,https://cdnpro.eraspace.com/media/catalog/product/t/e/tecno_megapad_se_grey_1.webp,https://eraspace.com/erafone/tecno-megapad-11-se
OPPO A6s,OPPO,Smartphones,OP-A6S-ER-CON,4999000,4999000,,20,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo_a6s_brown_01_1.webp,https://eraspace.com/erafone/oppo-a6s
iQOO Z11 5G,iQOO,Smartphones,IQO-Z11-5G-ER-CON,5699000,5699000,,5,Ready,https://cdnpro.eraspace.com/media/catalog/product/i/q/iqoo_z11_5g_blue_01_1.webp,https://eraspace.com/erafone/iqoo-z11-5g
Xiaomi Redmi Pad 2 9.7,Xiaomi,Tablets,XIA-RP-2-97-ER-CON,2399000,2399000,,10,Ready,https://cdnpro.eraspace.com/media/catalog/product/x/i/xiaomi_redmi_pad_2_9.7_gray_01.webp,https://eraspace.com/erafone/xiaomi-redmi-pad-2-97
Honor X5C Plus,Honor,Smartphones,HON-X5CP-ER-CON,2299000,2299000,,20,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x5c_plus_midnight_black_1_.webp,https://eraspace.com/erafone/honor-x5c-plus
OPPO Pad 2 - Grey,OPPO,Tablets,8100123352,6999000,5499000,21%,4,Ready,https://cdnpro.eraspace.com/media/catalog/product/o/p/oppo-pad-2_new1.jpg,https://eraspace.com/erafone/oppo-pad-2-grey
Motorola Signature,Motorola,Smartphones,MOT-SGTR-ER-CON,12999000,12999000,,3,Ready,https://cdnpro.eraspace.com/media/catalog/product/m/o/motorola_signature_carbon_1.webp,https://eraspace.com/erafone/motorola-signature
Infinix Note 60 Ultra,Infinix,Smartphones,INF-N60U-ER-CON,11999000,11999000,,6,Ready,https://cdnpro.eraspace.com/media/catalog/product/n/o/note_60_ultra_red_1.webp,https://eraspace.com/erafone/infinix-note-60-ultra
Motorola Edge 70 Fusion,Motorola,Smartphones,MOT-E70F-ER-CON,6499000,6499000,,11,Ready,https://cdnpro.eraspace.com/media/catalog/product/m/o/mot_edge_70_fusion_silhourtte_1.webp,https://eraspace.com/erafone/motorola-edge-70-fusion
HONOR X6c,Honor,Smartphones,HON-X6C-ER-CON,2999000,2999000,,7,Ready,https://cdnpro.eraspace.com/media/catalog/product/h/o/honor_x6c_wht_1.webp,https://eraspace.com/erafone/honor-x6c
Apple iPad Air M4,Apple,Tablets,IPD-AIR-M4-ER-CON,12599000,12249000,3%,30,Ready,https://cdnpro.eraspace.com/media/catalog/product/a/p/apple_ipad_air_11_inci_m4_wi-fi_space_grey_1.webp,https://eraspace.com/erafone/apple-ipad-air-m4
